,SI,t
0,0.00035690478185698325,60.0
1,0.00035126711883534943,61.0
2,0.00034578372261611636,62.0
3,0.0003404567120578789,63.0
4,0.00033525078735804117,64.0
5,0.0003301370472903225,65.0
6,0.0003250916799804383,66.0
7,0.000320094915298768,67.0
8,0.00031513022902322275,68.0
9,0.0003101837935916149,69.0
10,0.00030524388956765073,70.0
11,0.000300300672031169,71.0
12,0.00029534562427293144,72.0
13,0.00029037161273663204,73.0
14,0.0002853723244189486,74.0
15,0.00028034253635167525,75.0
16,0.00027527749979165656,76.0
17,0.00027017323943289616,77.0
18,0.0002650262677856567,78.0
19,0.00025983351527450856,79.0
20,0.0002545922978830188,80.0
21,0.00024930004574472364,81.0
22,0.00024395495386416412,82.0
23,0.00023855523025032314,83.0
24,0.0002330993175566556,84.0
25,0.00022758587048514738,85.0
26,0.00022201373720125075,86.0
27,0.00021638194405728731,87.0
28,0.00021068968294265852,88.0
29,0.0002049363009216461,89.0
30,0.0001991208556550914,90.0
31,0.00019324344394123548,91.0
32,0.00018730383135700997,92.0
33,0.0001813019120999354,93.0
34,0.00017523770479070032,94.0
35,0.00016911134889364615,95.0
36,0.00016292310162325916,96.0
37,0.00015667333522681402,97.0
38,0.00015036253455156208,98.0
39,0.00014399129482000494,99.0
40,0.0001375603195493997,100.0
41,0.0001310704185621481,101.0
42,0.00012452250604252032,102.0
43,0.00011791759860254748,103.0
44,0.00011125681332614461,104.0
45,0.00010454136576580202,105.0
46,9.777256787068083e-05,106.0
47,9.095182582879617e-05,107.0
48,8.408063780930568e-05,108.0
49,7.716059159380309e-05,109.0
50,7.019336208805898e-05,110.0
51,6.318090918915472e-05,111.0
52,6.331557925056879e-05,112.0
53,6.344913642875418e-05,113.0
54,6.358063403309275e-05,114.0
55,6.371002106541018e-05,115.0
56,6.383724212151891e-05,116.0
57,6.39622375215934e-05,117.0
58,6.408494443940193e-05,118.0
59,6.420529839533795e-05,119.0
60,6.432323473454844e-05,120.0
61,6.443868989016085e-05,121.0
62,6.455157394944769e-05,122.0
63,6.466185531412754e-05,123.0
64,6.476947886076871e-05,124.0
65,6.487439252825877e-05,125.0
66,6.497654741664425e-05,126.0
67,6.507589777339707e-05,127.0
68,6.517240090679078e-05,128.0
69,6.526601705689022e-05,129.0
70,6.535670924503483e-05,130.0
71,6.544444311413285e-05,131.0
72,6.552918676523323e-05,132.0
73,6.561091059133427e-05,133.0
74,6.56895871085325e-05,134.0
75,6.576519078886938e-05,135.0
76,6.583769790759146e-05,136.0
77,6.590708642317915e-05,137.0
78,6.597333590176318e-05,138.0
79,6.603642747835697e-05,139.0
80,6.609634383112492e-05,140.0
81,6.615306914616267e-05,141.0
82,6.620658906479202e-05,142.0
83,6.625689061834963e-05,143.0
84,6.630396215946022e-05,144.0
85,6.634779330001268e-05,145.0
86,6.63883748495068e-05,146.0
87,6.642569873953622e-05,147.0
88,6.645975801748874e-05,148.0
89,6.649054678544873e-05,149.0
90,6.651806016211944e-05,150.0
91,6.654229424774499e-05,151.0
92,6.656324609143406e-05,152.0
93,6.658091366044892e-05,153.0
94,6.659529581114977e-05,154.0
95,6.66063922613589e-05,155.0
96,6.66142035639788e-05,156.0
97,6.661873108173148e-05,157.0
98,6.661997696291601e-05,158.0
99,6.661794411810435e-05,159.0
100,6.661263619770807e-05,160.0
101,6.66040575703557e-05,161.0
102,6.659221330203497e-05,162.0
